Date,Arrival Quantity,Retail Prices,Min Price,Max Price,Modal Price
2002-01-01,,,,,
2002-01-02,,,,,
2002-01-03,,,,,
2002-01-04,84.0,0.0,325.0,375.0,350.0
2002-01-05,,,,,
2002-01-06,,,,,
2002-01-07,388.0,0.0,350.0,412.0,375.0
2002-01-08,1766.0,0.0,375.0,431.0,418.0
2002-01-09,1172.0,0.0,400.0,431.0,425.0
2002-01-10,,,,,
2002-01-11,1620.0,0.0,300.0,375.0,362.0
2002-01-12,,,,,
2002-01-13,,,,,
2002-01-14,1872.0,0.0,300.0,375.0,362.0
2002-01-15,914.0,0.0,375.0,425.0,406.0
2002-01-16,1125.0,0.0,375.0,406.0,400.0
2002-01-17,,,,,
2002-01-18,1637.0,0.0,375.0,406.0,400.0
2002-01-19,,,,,
2002-01-20,,,,,
2002-01-21,18.0,0.0,225.0,325.0,275.0
2002-01-22,1648.0,0.0,350.0,387.0,362.0
2002-01-23,1169.0,0.0,350.0,387.0,362.0
2002-01-24,,,,,
2002-01-25,879.0,0.0,375.0,400.0,387.0
2002-01-26,,,,,
2002-01-27,,,,,
2002-01-28,,,,,
2002-01-29,,,,,
2002-01-30,,,,,
2002-01-31,1071.0,0.0,350.0,375.0,362.0
2002-02-01,1382.0,0.0,337.0,350.0,343.0
2002-02-02,,,,,
2002-02-03,,,,,
2002-02-04,151.0,0.0,350.0,375.0,362.0
2002-02-05,1114.0,0.0,350.0,375.0,362.0
2002-02-06,,,,,
2002-02-07,1559.0,0.0,312.0,375.0,350.0
2002-02-08,,,,,
2002-02-09,,,,,
2002-02-10,,,,,
2002-02-11,123.0,0.0,337.0,387.0,356.0
2002-02-12,1585.0,0.0,350.0,400.0,375.0
2002-02-13,,,,,
2002-02-14,,,,,
2002-02-15,,,,,
2002-02-16,,,,,
2002-02-17,,,,,
2002-02-18,,,,,
2002-02-19,1751.0,0.0,350.0,375.0,362.0
2002-02-20,1033.0,0.0,337.0,356.0,350.0
2002-02-21,,,,,
2002-02-22,,,,,
2002-02-23,,,,,
2002-02-24,,,,,
2002-02-25,,,,,
2002-02-26,1064.0,0.0,325.0,375.0,350.0
2002-02-27,1238.0,0.0,325.0,375.0,350.0
2002-02-28,1474.0,0.0,325.0,375.0,350.0
2002-02-28,,,,,
2002-02-28,,,,,
2002-02-28,,,,,
2002-03-01,1216.0,0.0,325.0,362.0,343.0
2002-03-02,,,,,
2002-03-03,,,,,
2002-03-04,1154.0,0.0,325.0,382.0,343.0
2002-03-05,,,,,
2002-03-06,848.0,0.0,350.0,375.0,362.0
2002-03-07,,,,,
2002-03-08,,,,,
2002-03-09,,,,,
2002-03-10,,,,,
2002-03-11,,,,,
2002-03-12,,,,,
2002-03-13,,,,,
2002-03-14,,,,,
2002-03-15,,,,,
2002-03-16,,,,,
2002-03-17,,,,,
2002-03-18,,,,,
2002-03-19,1737.0,0.0,400.0,425.0,412.0
2002-03-20,,,,,
2002-03-21,,,,,
2002-03-22,,,,,
2002-03-23,,,,,
2002-03-24,,,,,
2002-03-25,,,,,
2002-03-26,,,,,
2002-03-27,1133.0,0.0,275.0,412.0,387.0
2002-03-28,,,,,
2002-03-29,,,,,
2002-03-30,,,,,
2002-03-31,,,,,
2002-04-01,,,,,
2002-04-02,,,,,
2002-04-03,1278.0,0.0,325.0,375.0,350.0
2002-04-04,1247.0,0.0,337.0,375.0,356.0
2002-04-05,,,,,
2002-04-06,,,,,
2002-04-07,,,,,
2002-04-08,184.0,0.0,337.0,375.0,356.0
2002-04-09,1125.0,0.0,350.0,406.0,375.0
2002-04-10,951.0,0.0,350.0,412.0,375.0
2002-04-11,,,,,
2002-04-12,,,,,
2002-04-13,,,,,
2002-04-14,,,,,
2002-04-15,,,,,
2002-04-16,1943.0,0.0,350.0,412.0,375.0
2002-04-17,1536.0,0.0,362.0,400.0,375.0
2002-04-18,1161.0,0.0,362.0,400.0,375.0
2002-04-19,1116.0,0.0,362.0,400.0,375.0
2002-04-20,,,,,
2002-04-21,,,,,
2002-04-22,191.0,0.0,350.0,400.0,375.0
2002-04-23,,,,,
2002-04-24,,,,,
2002-04-25,,,,,
2002-04-26,1380.0,0.0,375.0,437.0,400.0
2002-04-27,,,,,
2002-04-28,,,,,
2002-04-29,,,,,
2002-04-30,1362.0,0.0,400.0,450.0,425.0
2002-04-30,,,,,
2002-05-01,,,,,
2002-05-02,,,,,
2002-05-03,1352.0,0.0,412.0,456.0,425.0
2002-05-04,,,,,
2002-05-05,,,,,
2002-05-06,167.0,0.0,425.0,475.0,450.0
2002-05-07,1505.0,0.0,425.0,475.0,450.0
2002-05-08,1520.0,0.0,425.0,487.0,456.0
2002-05-09,,,,,
2002-05-10,,,,,
2002-05-11,,,,,
2002-05-12,,,,,
2002-05-13,,,,,
2002-05-14,1308.0,0.0,425.0,500.0,450.0
2002-05-15,1248.0,0.0,425.0,500.0,450.0
